high,timestamp,volume,low,close,open
29490.29,1609465200,7.28473982,29438.56,29451.85,29485.42
29447.85,1609465260,4.83502116,29408.26,29443.61,29433.49
29475.25,1609465320,13.78631233,29409.50,29438.16,29458.00
29449.28,1609465380,2.74118948,29402.63,29442.38,29414.11
29448.57,1609465440,14.39665000,29384.82,29403.39,29433.15
29422.65,1609465500,1.66981122,29379.39,29416.32,29397.15
29430.00,1609465560,8.05742355,29403.81,29429.59,29410.20
29455.19,1609465620,7.60755768,29428.09,29434.16,29439.26
29440.97,1609465680,3.14365928,29419.12,29420.26,29434.16
29466.20,1609465740,1.58941469,29422.24,29459.80,29435.69
29461.36,1609465800,11.61667223,29419.98,29437.44,29461.36
29448.47,1609465860,5.61288305,29437.43,29447.22,29437.44
29428.66,1609465920,5.02620046,29411.73,29412.27,29423.87
29455.39,1609465980,3.61632882,29414.61,29452.34,29424.99
29462.75,1609466040,2.55367753,29439.25,29453.09,29453.66
29463.57,1609466100,3.77812572,29439.60,29459.23,29439.60
29463.45,1609466160,5.46394914,29430.95,29430.95,29445.00
29498.51,1609466220,4.20445247,29454.96,29498.51,29463.57
29508.72,1609466280,10.97173755,29468.31,29476.93,29498.31
29491.55,1609466340,16.89578251,29466.15,29479.12,29489.63
29535.95,1609466400,14.23202728,29484.39,29518.58,29484.39
29530.41,1609466460,14.65845336,29506.27,29527.72,29526.11
29527.03,1609466520,8.03354565,29464.54,29464.99,29526.21
29474.24,1609466580,6.98152571,29433.10,29456.74,29464.99
29465.69,1609466640,3.92422471,29444.49,29454.80,29461.05
29459.58,1609466700,12.11250481,29429.67,29439.16,29459.58
29448.88,1609466760,1.34856796,29428.03,29428.04,29448.88
29436.66,1609466820,3.47431578,29411.64,29436.66,29427.66
29439.41,1609466880,5.41716368,29420.64,29429.44,29438.69
29450.00,1609466940,1.70711490,29420.78,29450.00,29420.78
29450.00,1609467000,1.75392073,29439.07,29441.25,29446.25
29443.70,1609467060,2.21264711,29420.11,29440.74,29441.26
29442.36,1609467120,3.74666800,29415.66,29415.67,29422.59
29428.91,1609467180,16.29014632,29332.11,29341.44,29415.68
29390.49,1609467240,17.57545813,29296.95,29327.81,29374.41
29396.07,1609467300,5.81655596,29338.14,29370.50,29353.67
29395.78,1609467360,8.61065758,29360.26,29360.26,29382.20
29385.71,1609467420,4.43193923,29351.68,29383.61,29366.81
29399.44,1609467480,1.79373441,29368.53,29385.60,29385.70
29420.51,1609467540,1.39502190,29390.18,29420.51,29390.18
29418.94,1609467600,6.52811736,29375.71,29377.43,29398.82
29407.80,1609467660,3.96680456,29377.43,29378.35,29377.43
29407.33,1609467720,5.70849476,29385.46,29392.79,29391.38
29416.00,1609467780,2.61324056,29392.78,29405.78,29402.21
29456.59,1609467840,4.61855369,29415.46,29420.10,29420.02
29435.74,1609467900,6.74435697,29382.20,29404.72,29435.74
29419.51,1609467960,3.55298023,29390.18,29413.87,29404.72
29415.92,1609468020,1.80137577,29378.84,29378.84,29413.87
29393.90,1609468080,5.37804482,29346.02,29346.12,29378.85
29385.94,1609468140,1.03260457,29346.96,29353.00,29347.48
29369.35,1609468200,4.00929272,29276.00,29276.00,29369.35
29319.39,1609468260,2.59408066,29276.00,29307.00,29276.00
29320.00,1609468320,5.38811316,29282.00,29282.00,29307.00
29293.19,1609468380,8.16111029,29261.84,29287.96,29281.70
29303.40,1609468440,2.68896139,29269.82,29286.43,29287.96
29325.00,1609468500,1.62877134,29288.66,29314.44,29288.67
29320.77,1609468560,3.26512199,29282.42,29320.77,29306.73
29329.74,1609468620,2.85966584,29305.62,29317.91,29307.35
29321.61,1609468680,7.24044911,29300.00,29316.45,29317.91
29311.53,1609468740,2.06519522,29277.81,29284.83,29299.64
29307.58,1609468800,0.52593980,29286.08,29297.44,29286.08
29283.73,1609468860,23.95751003,29189.34,29235.57,29282.16
29294.11,1609468920,3.24608269,29259.13,29292.49,29259.49
29339.34,1609468980,3.17224817,29285.74,29324.09,29285.74
29340.41,1609469040,1.74535492,29314.43,29330.75,29314.43
29359.00,1609469100,2.76222795,29317.20,29336.94,29317.20
29367.31,1609469160,4.30642732,29315.89,29337.83,29346.76
29351.22,1609469220,3.82437992,29305.55,29325.88,29329.49
29365.24,1609469280,1.76478895,29333.96,29358.14,29333.96
29393.66,1609469340,8.27265748,29346.16,29393.66,29346.16
29391.33,1609469400,2.78878377,29358.93,29368.55,29391.33
29368.55,1609469460,1.84593920,29313.78,29328.59,29368.55
29351.21,1609469520,2.62730845,29312.41,29325.65,29328.58
29325.56,1609469580,0.32888707,29287.02,29287.02,29314.29
29304.17,1609469640,2.42215242,29247.75,29247.75,29303.73
29275.81,1609469700,1.54735505,29247.20,29247.20,29247.67
29261.83,1609469760,2.94369548,29206.85,29261.83,29247.20
29263.35,1609469820,2.05166786,29229.42,29263.35,29239.55
29264.93,1609469880,2.05221762,29240.90,29240.90,29249.68
29264.17,1609469940,0.69548444,29232.06,29249.33,29232.06
29278.12,1609470000,2.42958785,29239.33,29278.12,29249.33
29296.18,1609470060,1.61175516,29270.66,29285.06,29283.01
29282.39,1609470120,1.30421254,29267.76,29279.15,29268.01
29293.70,1609470180,2.38655770,29268.64,29293.70,29279.15
29314.90,1609470240,8.72447495,29277.88,29313.44,29293.70
29316.18,1609470300,1.32957407,29294.49,29312.65,29294.49
29332.11,1609470360,17.51998330,29303.20,29317.86,29312.65
29324.40,1609470420,3.33843039,29311.75,29311.75,29315.00
29320.50,1609470480,2.14145670,29293.69,29293.70,29320.50
29329.74,1609470540,2.26079212,29282.70,29321.88,29295.34
29340.37,1609470600,4.52581755,29317.05,29328.86,29321.89
29367.15,1609470660,5.47772335,29326.16,29344.12,29326.16
29355.64,1609470720,6.38999154,29336.34,29338.21,29355.63
29348.13,1609470780,1.62819814,29326.21,29348.13,29328.81
29340.78,1609470840,2.20784103,29321.80,29328.10,29336.17
29377.20,1609470900,2.21642177,29328.10,29377.20,29328.10
29381.57,1609470960,6.53000139,29332.27,29332.27,29366.44
29376.57,1609471020,5.49397806,29324.53,29328.10,29324.53
29333.87,1609471080,3.10074863,29310.13,29310.13,29328.93
29324.11,1609471140,5.90661324,29303.75,29304.59,29309.44
29308.74,1609471200,1.60069713,29293.82,29293.82,29298.19
29317.63,1609471260,2.23331187,29293.56,29317.63,29293.82
29317.63,1609471320,8.83420975,29288.07,29288.07,29317.63
29302.74,1609471380,4.32371228,29266.26,29279.03,29284.81
29312.20,1609471440,4.76920030,29265.26,29312.20,29269.42
29333.42,1609471500,6.46554156,29292.03,29311.48,29292.03
29303.36,1609471560,3.04759073,29253.49,29253.49,29303.36
29261.56,1609471620,7.66881812,29216.61,29238.28,29245.64
29271.13,1609471680,4.18104739,29229.75,29252.48,29229.75
29287.23,1609471740,4.59488883,29253.64,29287.23,29268.61
29271.96,1609471800,6.85360952,29253.69,29258.19,29267.57
29279.85,1609471860,3.17608648,29248.14,29276.04,29260.51
29312.90,1609471920,8.75543647,29264.35,29302.79,29269.14
29329.20,1609471980,5.80216614,29297.73,29297.97,29309.65
29310.68,1609472040,4.40668944,29289.17,29291.10,29297.73
29309.80,1609472100,5.00178419,29286.87,29309.80,29286.87
29329.74,1609472160,6.66092024,29309.80,29328.44,29309.80
29341.16,1609472220,1.12271948,29324.07,29325.53,29326.06
29326.05,1609472280,3.02501317,29293.67,29293.67,29325.70
29317.37,1609472340,4.26358327,29298.20,29304.17,29299.66
29399.99,1609472400,5.83330301,29307.36,29399.99,29314.62
29414.48,1609472460,10.75242262,29384.03,29400.40,29400.00
29390.64,1609472520,6.30806623,29356.87,29372.83,29382.99
29382.64,1609472580,3.94067374,29358.77,29358.77,29358.82
29356.17,1609472640,2.28400245,29336.65,29351.18,29349.73
29351.18,1609472700,1.28360864,29336.79,29338.78,29351.18
29355.99,1609472760,9.60764451,29324.24,29338.42,29343.56
29347.75,1609472820,1.00922484,29332.79,29333.62,29339.48
29371.76,1609472880,2.03708462,29343.91,29359.05,29347.75
29360.24,1609472940,3.89071472,29331.17,29345.31,29356.52
29337.15,1609473000,9.28412312,29316.13,29317.79,29337.15
29335.34,1609473060,4.91375130,29304.78,29317.94,29317.54
29360.06,1609473120,3.97145037,29317.94,29331.28,29317.94
29378.83,1609473180,9.90496105,29331.28,29355.10,29331.28
29388.76,1609473240,1.62659511,29346.85,29388.76,29346.85
29387.30,1609473300,5.65304002,29363.83,29377.33,29387.30
29389.07,1609473360,1.63877486,29371.44,29389.07,29377.33
29392.57,1609473420,9.11013189,29371.44,29376.96,29389.07
